,store,address,phone,store_open
0,길동점  ,서울 강동구 진황도로 119 1층 101호,02-6952-9289,2020-10-14
1,대화역점  ,경기 고양시 일산서구 중앙로 1581 105호,031-925-0423,2020-09-15
2,의정부 호원점  ,경기 의정부시 평화로 193-1 1층,031-837-8292,2020-07-27
3,화전우방점,부산 강서구 화전산단4로 74 211동 110호,051-831-8592,2020-06-30
4,부산대점,부산 금정구 부산대학로38번길 23 1층,051-515-8592,2020-06-24
5,망미점,부산 수영구 망미로22번길 49 1층,051-754-8293,2020-04-28
6,용원2호점,경남 창원시 진해구 용원로102번길 5 ,055-547-7992,2020-04-22
7,장기점,대구 달서구 장기로 252 1층,053-527-9992,2019-12-18
8,대현점,대구 북구 대현로 102 ,053-955-2229,2019-12-01
9,범어점,경남 양산시 물금읍 범어1길 8 1층 101호,055-366-8592,2019-11-28
10,해운대4호점,부산 해운대구 대천로 92-6 1층(좌동),051)702-8592,2019-11-06
11,독립문역점,서울 종로구 통일로 230 ,02)3210-3392,2019-11-05
12,길동점  ,서울 강동구 진황도로 119 1층 101호,02-6952-9289,2020-10-14
13,대화역점  ,경기 고양시 일산서구 중앙로 1581 105호,031-925-0423,2020-09-15
14,의정부 호원점  ,경기 의정부시 평화로 193-1 1층,031-837-8292,2020-07-27
15,화전우방점,부산 강서구 화전산단4로 74 211동 110호,051-831-8592,2020-06-30
16,부산대점,부산 금정구 부산대학로38번길 23 1층,051-515-8592,2020-06-24
17,망미점,부산 수영구 망미로22번길 49 1층,051-754-8293,2020-04-28
18,용원2호점,경남 창원시 진해구 용원로102번길 5 ,055-547-7992,2020-04-22
19,장기점,대구 달서구 장기로 252 1층,053-527-9992,2019-12-18
20,대현점,대구 북구 대현로 102 ,053-955-2229,2019-12-01
21,범어점,경남 양산시 물금읍 범어1길 8 1층 101호,055-366-8592,2019-11-28
22,해운대4호점,부산 해운대구 대천로 92-6 1층(좌동),051)702-8592,2019-11-06
23,독립문역점,서울 종로구 통일로 230 ,02)3210-3392,2019-11-05
24,길동점  ,서울 강동구 진황도로 119 1층 101호,02-6952-9289,2020-10-14
25,대화역점  ,경기 고양시 일산서구 중앙로 1581 105호,031-925-0423,2020-09-15
26,의정부 호원점  ,경기 의정부시 평화로 193-1 1층,031-837-8292,2020-07-27
27,화전우방점,부산 강서구 화전산단4로 74 211동 110호,051-831-8592,2020-06-30
28,부산대점,부산 금정구 부산대학로38번길 23 1층,051-515-8592,2020-06-24
29,망미점,부산 수영구 망미로22번길 49 1층,051-754-8293,2020-04-28
30,용원2호점,경남 창원시 진해구 용원로102번길 5 ,055-547-7992,2020-04-22
31,장기점,대구 달서구 장기로 252 1층,053-527-9992,2019-12-18
32,대현점,대구 북구 대현로 102 ,053-955-2229,2019-12-01
33,범어점,경남 양산시 물금읍 범어1길 8 1층 101호,055-366-8592,2019-11-28
34,해운대4호점,부산 해운대구 대천로 92-6 1층(좌동),051)702-8592,2019-11-06
35,독립문역점,서울 종로구 통일로 230 ,02)3210-3392,2019-11-05
36,길동점  ,서울 강동구 진황도로 119 1층 101호,02-6952-9289,2020-10-14
37,대화역점  ,경기 고양시 일산서구 중앙로 1581 105호,031-925-0423,2020-09-15
38,의정부 호원점  ,경기 의정부시 평화로 193-1 1층,031-837-8292,2020-07-27
39,화전우방점,부산 강서구 화전산단4로 74 211동 110호,051-831-8592,2020-06-30
40,부산대점,부산 금정구 부산대학로38번길 23 1층,051-515-8592,2020-06-24
41,망미점,부산 수영구 망미로22번길 49 1층,051-754-8293,2020-04-28
42,용원2호점,경남 창원시 진해구 용원로102번길 5 ,055-547-7992,2020-04-22
43,장기점,대구 달서구 장기로 252 1층,053-527-9992,2019-12-18
44,대현점,대구 북구 대현로 102 ,053-955-2229,2019-12-01
45,범어점,경남 양산시 물금읍 범어1길 8 1층 101호,055-366-8592,2019-11-28
46,해운대4호점,부산 해운대구 대천로 92-6 1층(좌동),051)702-8592,2019-11-06
47,독립문역점,서울 종로구 통일로 230 ,02)3210-3392,2019-11-05
48,길동점  ,서울 강동구 진황도로 119 1층 101호,02-6952-9289,2020-10-14
49,대화역점  ,경기 고양시 일산서구 중앙로 1581 105호,031-925-0423,2020-09-15
50,의정부 호원점  ,경기 의정부시 평화로 193-1 1층,031-837-8292,2020-07-27
51,화전우방점,부산 강서구 화전산단4로 74 211동 110호,051-831-8592,2020-06-30
52,부산대점,부산 금정구 부산대학로38번길 23 1층,051-515-8592,2020-06-24
53,망미점,부산 수영구 망미로22번길 49 1층,051-754-8293,2020-04-28
54,용원2호점,경남 창원시 진해구 용원로102번길 5 ,055-547-7992,2020-04-22
55,장기점,대구 달서구 장기로 252 1층,053-527-9992,2019-12-18
56,대현점,대구 북구 대현로 102 ,053-955-2229,2019-12-01
57,범어점,경남 양산시 물금읍 범어1길 8 1층 101호,055-366-8592,2019-11-28
58,해운대4호점,부산 해운대구 대천로 92-6 1층(좌동),051)702-8592,2019-11-06
59,독립문역점,서울 종로구 통일로 230 ,02)3210-3392,2019-11-05
60,길동점  ,서울 강동구 진황도로 119 1층 101호,02-6952-9289,2020-10-14
61,대화역점  ,경기 고양시 일산서구 중앙로 1581 105호,031-925-0423,2020-09-15
62,의정부 호원점  ,경기 의정부시 평화로 193-1 1층,031-837-8292,2020-07-27
63,화전우방점,부산 강서구 화전산단4로 74 211동 110호,051-831-8592,2020-06-30
64,부산대점,부산 금정구 부산대학로38번길 23 1층,051-515-8592,2020-06-24
65,망미점,부산 수영구 망미로22번길 49 1층,051-754-8293,2020-04-28
66,용원2호점,경남 창원시 진해구 용원로102번길 5 ,055-547-7992,2020-04-22
67,장기점,대구 달서구 장기로 252 1층,053-527-9992,2019-12-18
68,대현점,대구 북구 대현로 102 ,053-955-2229,2019-12-01
69,범어점,경남 양산시 물금읍 범어1길 8 1층 101호,055-366-8592,2019-11-28
70,해운대4호점,부산 해운대구 대천로 92-6 1층(좌동),051)702-8592,2019-11-06
71,독립문역점,서울 종로구 통일로 230 ,02)3210-3392,2019-11-05
72,길동점  ,서울 강동구 진황도로 119 1층 101호,02-6952-9289,2020-10-14
73,대화역점  ,경기 고양시 일산서구 중앙로 1581 105호,031-925-0423,2020-09-15
74,의정부 호원점  ,경기 의정부시 평화로 193-1 1층,031-837-8292,2020-07-27
75,화전우방점,부산 강서구 화전산단4로 74 211동 110호,051-831-8592,2020-06-30
76,부산대점,부산 금정구 부산대학로38번길 23 1층,051-515-8592,2020-06-24
77,망미점,부산 수영구 망미로22번길 49 1층,051-754-8293,2020-04-28
78,용원2호점,경남 창원시 진해구 용원로102번길 5 ,055-547-7992,2020-04-22
79,장기점,대구 달서구 장기로 252 1층,053-527-9992,2019-12-18
80,대현점,대구 북구 대현로 102 ,053-955-2229,2019-12-01
81,범어점,경남 양산시 물금읍 범어1길 8 1층 101호,055-366-8592,2019-11-28
82,해운대4호점,부산 해운대구 대천로 92-6 1층(좌동),051)702-8592,2019-11-06
83,독립문역점,서울 종로구 통일로 230 ,02)3210-3392,2019-11-05
84,길동점  ,서울 강동구 진황도로 119 1층 101호,02-6952-9289,2020-10-14
85,대화역점  ,경기 고양시 일산서구 중앙로 1581 105호,031-925-0423,2020-09-15
86,의정부 호원점  ,경기 의정부시 평화로 193-1 1층,031-837-8292,2020-07-27
87,화전우방점,부산 강서구 화전산단4로 74 211동 110호,051-831-8592,2020-06-30
88,부산대점,부산 금정구 부산대학로38번길 23 1층,051-515-8592,2020-06-24
89,망미점,부산 수영구 망미로22번길 49 1층,051-754-8293,2020-04-28
90,용원2호점,경남 창원시 진해구 용원로102번길 5 ,055-547-7992,2020-04-22
91,장기점,대구 달서구 장기로 252 1층,053-527-9992,2019-12-18
92,대현점,대구 북구 대현로 102 ,053-955-2229,2019-12-01
93,범어점,경남 양산시 물금읍 범어1길 8 1층 101호,055-366-8592,2019-11-28
94,해운대4호점,부산 해운대구 대천로 92-6 1층(좌동),051)702-8592,2019-11-06
95,독립문역점,서울 종로구 통일로 230 ,02)3210-3392,2019-11-05
96,길동점  ,서울 강동구 진황도로 119 1층 101호,02-6952-9289,2020-10-14
97,대화역점  ,경기 고양시 일산서구 중앙로 1581 105호,031-925-0423,2020-09-15
98,의정부 호원점  ,경기 의정부시 평화로 193-1 1층,031-837-8292,2020-07-27
99,화전우방점,부산 강서구 화전산단4로 74 211동 110호,051-831-8592,2020-06-30
100,부산대점,부산 금정구 부산대학로38번길 23 1층,051-515-8592,2020-06-24
101,망미점,부산 수영구 망미로22번길 49 1층,051-754-8293,2020-04-28
102,용원2호점,경남 창원시 진해구 용원로102번길 5 ,055-547-7992,2020-04-22
