,store,address,phone
0,가음정점,경남 창원시 성산구 원이대로 863번길 19 1층 102-1호,055-266-7918
1,가평점,경기도 가평군 가평읍 가화로 108,031-581-3044
2,간석점,"인천광역시 남동구 석산로 159, 1층 104호(간석동,보인프라자)",032-422-2697
3,강릉점,강원도 강릉시 금학동 52-1 1층,033-643-0141
4,강원사내점,"강원도 화천군 사내면 사내로 41-1, 1호",033-442-8822
5,강원양구점,강원 양구군 양구읍 사명길 97,010-4228-5423
6,강원춘천점,강원도 춘천시 중앙로1가 91 지하상가 나 - 40호,033-251-4619
7,강원화천점,강원도 화천군 화천읍 중앙로 10-3,033-442-8500
8,개봉역점,서울특별시 구로구 개봉동 415 개봉역 구내,02-2683-1210
9,개포점,"서울특별시 강남구 개포로82길 9-15, 105호(개포동, 영진빌딩)",02-3412-8408
10,거제고현점,"경상남도 거제시 거제중앙로 1894(고현동 ,106호)",055-636-1077
11,거제아주동점,"경상남도 거제시 아주1로 3길, 37-1, 1층(아주동,비단채)",055-682-3046
12,거창점,경상남도 거창군 거창읍 중앙로 1길 5,055-942-0233
13,경기광주점,경기도 광주시 경안동 28-7,031-766-8687
14,경기오포점,"경기도 광주시 오포읍 신현로 24,외2번지",031-715-8013
15,경남고성점,경남 고성군 고성읍 동외리 288-43번지,055-672-1226
16,경남대점,"경상남도 창원시 마산합포구 해운동 5-95, 해운프라자상가 103호",055-222-0053
17,경남동읍점,경상남도 창원시 의창구 동읍 동읍로 9,055-253-6752
18,경남의령점,경상남도 의령군 의령읍 의병로 223,055-574-0077
19,경남칠원점,경상남도 함안군 칠원읍 원서로 3,055-586-4172
20,경남하동점,경상남도 하동군 하동읍 중앙로 29-3,055-884-5820
21,경북대점,대구광역시 북구 산격동 1332-10,053-951-5078
22,경북울진점,경상북도 울진군 울진읍 읍내리 54-6,054-781-2795
23,경산사동점,경상북도 경산시 백자로10길 3-11(사동),053-812-0045
24,경산시장점,경상북도 경산시 중앙로 76(중방동),053-813-2117
25,경산옥곡점,"경상북도 경산시 경산로 43, 1층 (옥곡동)",053-816-2220
26,경성대점,"부산광역시 남구 용소로 9 (대연동, 성신빌딩 1층)",051-623-7775
27,경주동대점,"경상북도 경주시 동대로 10-1, 1층",054-741-7767
28,경주점,"경상북도 경주시 동성로  118, 1층(노동동)",054-773-9449
29,고령점,경상북도 고령군 대가야읍 중앙로 15-2,054-954-0788
30,고척점,서울특별시 구로구 고척로 143(고척동),02-2683-2141
31,곤지암점,경기 광주시 곤지암읍 곤지암리 441-16 네이처컬렉션,031-769-8687
32,공주점,충청남도 공주시 중동 136-2,041-856-0908
33,광양마동점,"전라남도 광양시 사동로 177-1, 1층(마동)",061-791-2606
34,광양사동하나로점,전라남도 광양시 공영로 25(중동),061-793-7955
35,광양칠성점,전라남도 광양시 광양읍 칠성로 52,061-763-2679
36,광운대점,"서울시 노원구 월계동 410-1, 104호",070-8815-1774
37,광주금호점,광주광역시 서구 운천로 1(금호동),062-366-2828
38,광주동천점,광주광역시 서구 하남대로680번길 2. 1층(동천동),062-528-1339
39,광주두암점,광주광역시 북구 두암동 삼정로 112,062-268-9229
40,광주문흥점,"광주광역시 북구 문산로 42,105-105(문흥동,모아아파트상가)",062-263-4941
41,광주백운점,"광주광역시 남구 백운로 64, 1층(백운동)",062-676-9977
42,광주상무점,"광주광역시 서구 상무중앙로 103,107호(치평동, 휴먼빌딩)",062-385-2828
43,광주송정점,광주광역시 광산구 광산로 31-3(송정동),062-942-6678
44,광주신창점,광주광역시 광산구 신창로 69(신창동),062-956-7996
45,광주염주점,광주광역시 서구 월드컵4강로75(화정동),062-374-6403
46,광주오치점,광주광역시 북구 서하로 179 오치동1층,062-575-1339
47,광주용봉점,"광주광역시 북구 용봉택지로 39, 1동108호(용봉동)",062-529-0006
